"Replication","Sample_Size","Parameter","Estimate","Posterior_SD","Lower_95","Upper_95","Rhat","Rhat_Upper","ESS"
29,500,"beta2_y",1.0437139456876,0.0573261140409482,0.931034961389616,1.15671162380845,1.00374905129235,1.01251201513802,1302.05047728493
29,500,"sd_b0",0.936933054695237,0.0493748553687579,0.843404179715784,1.03540333871665,1.00003042211671,1.00019871464598,5713.23494821702
29,500,"sd_b1",0.62053437770033,0.0211654738856672,0.580402232676951,0.663142737100804,1.00002829553696,1.00023515149556,19794.5319322622
29,500,"rho",0.263096740539528,0.0611690000614435,0.142313369233677,0.382138963166827,1.00001363596886,1.00012865016398,7059.42084355599
29,500,"sigma_y",1.02485674484958,0.0131596998515717,0.999610218405804,1.05075489525829,1.00045543664246,1.00131949359133,16609.2643771411
30,500,"beta0_y",1.94749267006888,0.0547660221391657,1.83991598353032,2.05492484470554,1.00103881061459,1.00347326682017,1327.87239344552
30,500,"beta1_y",0.48210102123435,0.0272277624755276,0.426723094288246,0.537071711364267,1.00293371481649,1.01085607830631,237.749888462949
30,500,"beta2_y",0.952352806288822,0.0536009532580718,0.848415345629055,1.05734526544561,1.00066870626147,1.00216316592195,1327.11202708823
30,500,"sd_b0",0.954459751853426,0.0500056737780573,0.859043911028428,1.0541327761653,1.0009441269123,1.00347495632829,5851.83902022013
30,500,"sd_b1",0.571001233814718,0.0197602448996572,0.53404891278223,0.611385953932782,1.00005964465579,1.00026165831081,18251.1102093242
30,500,"rho",0.292207602099208,0.0599986882009059,0.172861947600796,0.4085573154415,1.00156889161764,1.00578189327799,6971.87689300147
30,500,"sigma_y",1.00629948455822,0.0130207715043244,0.981263248522363,1.03201026970387,1.00025302235496,1.00101324514745,15701.8494078384
31,500,"beta0_y",1.97540697357007,0.053900837006051,1.87014580702444,2.0815480432426,1.00213068828387,1.00711080191334,1334.49706266511
31,500,"beta1_y",0.490747253505626,0.028271244980938,0.434548907305787,0.545497680065567,1.0156247016471,1.04863922923729,222.632131543147
31,500,"beta2_y",1.03263270632247,0.0580641936227307,0.918054278395717,1.14545317546286,1.00026501490581,1.00103579363074,1264.38252071987
31,500,"sd_b0",0.955737447338422,0.0494161012987374,0.862023836416737,1.05533361671106,1.0004433107585,1.00174391057169,6026.68550987717
31,500,"sd_b1",0.596143346986369,0.020351607250247,0.557821026242669,0.637514751388248,1.00056667269334,1.00218752779168,19919.7342182301
31,500,"rho",0.301937625062574,0.0594287085784295,0.184923401966248,0.416636417186994,1.00124118816928,1.00454863487305,7278.26399993328
31,500,"sigma_y",0.99093739551643,0.0128519896247399,0.966450568208272,1.01677458489246,1.00010869047986,1.00052741098575,16995.0146171391
32,500,"beta0_y",2.01660550578775,0.0558195455045303,1.90965189239078,2.12687735442394,1.0015119571882,1.00544290548247,1228.11142349839
32,500,"beta1_y",0.485433779938155,0.0282131777830495,0.431498108313166,0.542763479826031,1.01769561725729,1.03319312169473,219.21987502665
32,500,"beta2_y",1.04222283843043,0.0538300991564345,0.93636554691145,1.14871756231173,1.00212316251467,1.00763841970241,1244.44872668364
32,500,"sd_b0",0.985212192956254,0.0500518249885992,0.889333892018752,1.08567695581282,1.00013645074496,1.00056706995147,6710.45219957087
32,500,"sd_b1",0.602537251145852,0.0205936793422661,0.563692190302556,0.644639087886226,1.0001950476524,1.00055801801858,19957.6332059284
32,500,"rho",0.225203891375828,0.0586332757024405,0.108475884955002,0.338413860939286,1.00015638654866,1.00053337870375,8896.93156855257
32,500,"sigma_y",0.996193041315999,0.0127817793363398,0.97138479333357,1.02133108313281,1.00005098329473,1.00018998727434,16033.5680325324
33,500,"beta0_y",2.00382515027713,0.0560511173200436,1.89322386692628,2.11297810675244,1.00033362196859,1.00033624550902,1228.7565990501
33,500,"beta1_y",0.556193455266697,0.0278253908633389,0.501318607814384,0.611204689890133,1.00570736341535,1.01760555085251,223.770928613396
33,500,"beta2_y",0.988115942576665,0.0543249605550447,0.882443257968405,1.09533676184962,1.00077306531262,1.00083841969418,1289.99928907111
33,500,"sd_b0",0.970948519202985,0.0496914427448746,0.875086415974508,1.07057281260409,1.00060497175039,1.00212541569588,6072.98553363901
33,500,"sd_b1",0.603338606323892,0.0206523113484314,0.564363530499634,0.645354466450332,0.999999334631599,1.00004429256504,19857.5348794051
33,500,"rho",0.354342689367213,0.0578623102681677,0.239384746622103,0.466183082404117,1.00027655302466,1.00106980282459,6666.08131774844
33,500,"sigma_y",0.986439783535594,0.0127477896444183,0.961802461967631,1.01170893044746,1.00048239386399,1.00189153741393,16481.4763879796
34,500,"beta0_y",2.07025808920631,0.0553666502737387,1.96053225736286,2.17920007780091,1.00453171572859,1.01663677737385,1173.71993849434
34,500,"beta1_y",0.472844452286677,0.0262499980007155,0.423035729029017,0.525224623037027,1.00345922135798,1.00992737991967,240.140599734951
34,500,"beta2_y",1.06448445729914,0.0596223363112819,0.946650211929784,1.17935102619182,1.00235217523092,1.00704972054237,1099.67156639006
34,500,"sd_b0",1.03601076397237,0.0486570625265843,0.944039250657367,1.13446059505454,1.00027451824823,1.00110507151583,8150.57745150494
34,500,"sd_b1",0.606869946660676,0.0204376013196538,0.568461338514366,0.648641978867816,1.00009515684674,1.00031854044595,20039.012358188
34,500,"rho",0.30034257006788,0.0552743914526255,0.190454891900331,0.406764719855057,1.00010969330791,1.00036262690147,9220.50590506616
34,500,"sigma_y",0.959490711810664,0.0122004075574848,0.93570566921103,0.983584809312408,1.000144825168,1.00048135053873,17610.8102993505
35,500,"beta0_y",1.92488599286078,0.0542895887744274,1.82043371088304,2.03268709486859,1.0018877388275,1.00705567217415,1401.03228686841
35,500,"beta1_y",0.48765772904473,0.0277620009907048,0.433592513273301,0.542927467880885,1.0021691440609,1.00755042695937,248.494774245812
35,500,"beta2_y",0.892353143030932,0.0547396552695135,0.783558248460094,0.999421882428017,1.00149084249657,1.00443630605664,1503.64857127783
35,500,"sd_b0",0.950162256540495,0.0501496952887553,0.85504413542541,1.05017913677808,0.999995400035041,1.00011670350892,5196.88550810512
35,500,"sd_b1",0.613153157936105,0.0208396181547612,0.573646007229519,0.655332806730984,1.00020548351923,1.0008005831963,18510.3164587103
35,500,"rho",0.287748065509673,0.0605389657508137,0.167547095002578,0.404741839179646,1.00014590640204,1.0003733664266,6984.75701629363
35,500,"sigma_y",1.03183919186563,0.0132549252682539,1.00611352560744,1.05815896842814,1.00014274877639,1.00044597762862,16222.4469872183
36,500,"beta0_y",2.03419623993178,0.0547724691124091,1.92747447810906,2.1416951454301,1.00287798973645,1.00819312562027,1215.2496043659
36,500,"beta1_y",0.503650715121021,0.0291771006843796,0.450427952744774,0.563860862564892,1.00512876159667,1.00578883420064,210.865590079309
