transition,from,to,covariate,beta_mean,beta_sd,beta_median,beta_CrI_2.5,beta_CrI_97.5,HR,HR_CrI_2.5,HR_CrI_97.5,Significant_95CrI,parameter
1->0,1,0,Age (per 10-year increase),-0.3277202638770581,0.0228034211726476,-0.327658177545505,-0.37292590737511216,-0.2825933081677976,0.7205645594512038,0.6887162597490616,0.7538263005267171,TRUE,"gamma[4,1]"
1->0,1,0,Cardiovascular condition (any; 1 vs 0),-0.4525908746456464,0.05891069533973122,-0.45254858834194867,-0.5672457991475961,-0.3376276293184252,0.6359782752447405,0.567085156246606,0.7134609103656732,TRUE,"gamma[4,2]"
1->0,1,0,High blood pressure (1 vs 0),-0.39564328866453047,0.03826130894679591,-0.395142601046289,-0.47064891463305825,-0.32126304309882486,0.6732468078774535,0.6245968267278238,0.7252324585046646,TRUE,"gamma[4,3]"
1->0,1,0,Diabetes (1 vs 0),-0.39721658761676387,0.08502684016088133,-0.39689004280063855,-0.5704313639845602,-0.2358076334813571,0.6721884221768981,0.565281544000406,0.7899326159053442,TRUE,"gamma[4,4]"
1->0,1,0,Stroke (1 vs 0),-0.7837227854157109,0.1831959730397838,-0.7776829842759212,-1.1621360938289047,-0.43489856294770757,0.4567026367081898,0.3128172596797533,0.6473303270280356,TRUE,"gamma[4,5]"
1->0,1,0,Cancer (1 vs 0),-0.35935946300005384,0.08026305632072815,-0.3580694951542135,-0.5197976585692823,-0.20487072129774242,0.6981233567264192,0.594640856279729,0.8147526397671645,TRUE,"gamma[4,6]"
1->0,1,0,Arthritis (1 vs 0),-0.7516515286898842,0.04062844509899889,-0.7515621460478841,-0.832022294969639,-0.6729080885196821,0.47158706967351893,0.43516835709289303,0.5102226456044264,TRUE,"gamma[4,7]"
1->0,1,0,Eyesight score (per 0.2-unit increase),-0.19358901786403485,0.018448127729288118,-0.19375090808946727,-0.22962478492454724,-0.15759734727262395,0.8239964825234193,0.794831779425687,0.8541936561382509,TRUE,"gamma[4,8]"
1->2,1,2,Age (per 10-year increase),0.32394329091965096,0.024192663252207387,0.3239835810384871,0.27707480961646175,0.37174243623921743,1.3825689006854451,1.3192650610566605,1.4502593989196875,TRUE,"gamma[5,1]"
1->2,1,2,Cardiovascular condition (any; 1 vs 0),0.21234394906419182,0.053406930845057994,0.2125670986128449,0.10713864557829414,0.3167787919164441,1.2365731301139027,1.1130885685898786,1.3726988862479075,TRUE,"gamma[5,2]"
1->2,1,2,High blood pressure (1 vs 0),0.12131543939745587,0.04369223049386454,0.12166987011850922,0.037234060118972616,0.2071561538984078,1.128980981285785,1.0379359318168488,1.2301746533510627,TRUE,"gamma[5,3]"
1->2,1,2,Diabetes (1 vs 0),0.2871968712770449,0.07054688025697987,0.2870440286350976,0.14926639365297123,0.42466798018872964,1.3326865553550915,1.1609822263141583,1.5290826496404393,TRUE,"gamma[5,4]"
1->2,1,2,Stroke (1 vs 0),0.36078543718871586,0.09670049763186395,0.36288536958607426,0.16498799825657579,0.5468003384322053,1.4344556470207461,1.1793789640227241,1.727716057722023,TRUE,"gamma[5,5]"
1->2,1,2,Cancer (1 vs 0),0.04720641865220993,0.08464443666381952,0.04908768403320886,-0.12212372673298527,0.20863982096324055,1.0483383833431952,0.885038858761566,1.232001177610119,FALSE,"gamma[5,6]"
1->2,1,2,Arthritis (1 vs 0),0.48275139475642354,0.04223231797999579,0.48311653770310403,0.40156888271012214,0.5651624921248585,1.6205269834245033,1.49416703255986,1.7597337023598227,TRUE,"gamma[5,7]"
1->2,1,2,Eyesight score (per 0.2-unit increase),0.17406477855570757,0.021829852664544843,0.17415581281964898,0.13115234022313094,0.21637598729820162,1.1901326583980743,1.1401414574867552,1.241569105467057,TRUE,"gamma[5,8]"
1->3,1,3,Age (per 10-year increase),0.9164455626894946,0.13597868096629495,0.9153786436812523,0.6530285299934236,1.1841965100774428,2.500387107005622,1.921350895407537,3.2680599130536088,TRUE,"gamma[6,1]"
1->3,1,3,Cardiovascular condition (any; 1 vs 0),0.15857475310121794,0.31580408989198383,0.16886313959977212,-0.4811782638265141,0.763576510891156,1.1718395195893656,0.6180547310807156,2.1459374808116656,FALSE,"gamma[6,2]"
1->3,1,3,High blood pressure (1 vs 0),-0.41373805416522924,0.2701795754632935,-0.4124341471036437,-0.9389079427243827,0.11320666817248513,0.6611741203913515,0.39105465634224484,1.119863349146382,FALSE,"gamma[6,3]"
1->3,1,3,Diabetes (1 vs 0),-0.36006721917181106,0.5285573026191713,-0.32715263236937714,-1.4999669378870808,0.5765018490862586,0.6976294304223614,0.22313753742493384,1.779801513979743,FALSE,"gamma[6,4]"
1->3,1,3,Stroke (1 vs 0),-0.40441475979964764,0.7254183288540442,-0.34149999004741877,-2.015690380249367,0.8207982499298135,0.6673672667449878,0.1332283933572288,2.2723129874454746,FALSE,"gamma[6,5]"
1->3,1,3,Cancer (1 vs 0),0.6416611723102069,0.3729658803046545,0.6616684854896223,-0.13592068164312235,1.3305457877134432,1.8996338789412779,0.8729118676779155,3.783107597852776,FALSE,"gamma[6,6]"
1->3,1,3,Arthritis (1 vs 0),-0.6270954174732265,0.2860219285386158,-0.622090500352283,-1.2052214281825353,-0.09216312226507244,0.5341410066546632,0.2996256466049468,0.9119563770214978,TRUE,"gamma[6,7]"
1->3,1,3,Eyesight score (per 0.2-unit increase),0.036392404913833463,0.1302893921043576,0.03719782124285251,-0.22258608179125516,0.29077789172635615,1.0370627151624532,0.800446099950374,1.3374674883626676,FALSE,"gamma[6,8]"
2->0,2,0,Age (per 10-year increase),-0.6660917373013291,0.2520474426078213,-0.6538714973548592,-1.1841742236346504,-0.19793177345865914,0.5137123824806712,0.3059987617414078,0.8204258260449281,TRUE,"gamma[7,1]"
2->0,2,0,Cardiovascular condition (any; 1 vs 0),-2.8477670966306894,1.1484827481986974,-2.7290566294615948,-5.417302428087116,-0.9028832905965624,0.05797362596297413,0.004439105316715738,0.40539908962167764,TRUE,"gamma[7,2]"
2->0,2,0,High blood pressure (1 vs 0),-0.5023980914291507,0.4239740508554541,-0.4821072322190871,-1.3830026559985322,0.2737262013339523,0.6050778863739279,0.25082428218300107,1.314854747473812,FALSE,"gamma[7,3]"
2->0,2,0,Diabetes (1 vs 0),-0.9693621603068887,0.9227808839020945,-0.8906117074172611,-3.0131072933778085,0.6149007983110795,0.3793249094414562,0.04913875276947341,1.849473119600639,FALSE,"gamma[7,4]"
2->0,2,0,Stroke (1 vs 0),-1.8547464096720505,1.333291558430891,-1.7261830969063308,-4.807841954548093,0.3400240396291096,0.15649262265901376,0.008165462135842705,1.4049813653885548,FALSE,"gamma[7,5]"
2->0,2,0,Cancer (1 vs 0),-1.949369775582701,1.2886390285246936,-1.831250768749228,-4.791492811199806,0.20993761420927012,0.1423637644407206,0.008300057709932793,1.2336010983761463,FALSE,"gamma[7,6]"
2->0,2,0,Arthritis (1 vs 0),-1.0925377277235169,0.39014285008915306,-1.0874761270842783,-1.8554734406378768,-0.34068152146948033,0.33536434950185845,0.1563788890253638,0.7112854012672825,TRUE,"gamma[7,7]"
2->0,2,0,Eyesight score (per 0.2-unit increase),-0.636598689604674,0.204169541136635,-0.6350909770507565,-1.0339182670784128,-0.24720201274812964,0.5290889628073104,0.35561084890415917,0.7809829090909711,TRUE,"gamma[7,8]"
2->1,2,1,Age (per 10-year increase),-0.12711238617906873,0.03089715099306233,-0.1270356191994811,-0.18772574598900596,-0.06796019152930323,0.8806346958668291,0.8288419893047932,0.9342976657981769,TRUE,"gamma[8,1]"
2->1,2,1,Cardiovascular condition (any; 1 vs 0),-0.4221687905620155,0.07380890937289256,-0.4211109898561511,-0.5701951665090828,-0.28154501964664136,0.6556233670168888,0.5654150778435905,0.7546169423224607,TRUE,"gamma[8,2]"
2->1,2,1,High blood pressure (1 vs 0),-0.02899797204970765,0.05841262053640238,-0.029186131568716536,-0.14214693958406885,0.0857402987131693,0.9714184344529054,0.8674937779454079,1.0895233409469527,FALSE,"gamma[8,3]"
2->1,2,1,Diabetes (1 vs 0),-0.23805405064375162,0.09657194823692071,-0.23663295638033516,-0.43353853029952083,-0.0510326234195975,0.7881600893822454,0.6482113163582848,0.950247669698303,TRUE,"gamma[8,4]"
2->1,2,1,Stroke (1 vs 0),-0.536368675911751,0.13379304270234807,-0.5319052643819997,-0.8072873536919342,-0.28497765189545876,0.5848682470043933,0.44606644702777454,0.7520310606003482,TRUE,"gamma[8,5]"
2->1,2,1,Cancer (1 vs 0),-0.08998308064838033,0.11751197530036857,-0.08709472954649554,-0.3287062103992384,0.13068322917868763,0.9139466485251218,0.7198544714417306,1.1396067299699186,FALSE,"gamma[8,6]"
2->1,2,1,Arthritis (1 vs 0),-0.3175450135819839,0.05912145751912134,-0.3184883940130633,-0.43317438617654314,-0.20083679648710884,0.7279339131239452,0.6484474016815169,0.8180459286292259,TRUE,"gamma[8,7]"
2->1,2,1,Eyesight score (per 0.2-unit increase),-0.1296749083035869,0.02720285174749333,-0.12993085518621028,-0.18262327385115024,-0.07611965674685565,0.8783809388594275,0.8330819403790153,0.926705313381863,TRUE,"gamma[8,8]"
2->3,2,3,Age (per 10-year increase),0.677960119176218,0.10602349518814796,0.6764712514293751,0.4724502581481877,0.8854999952959398,1.9698553608698781,1.60391939894617,2.424196175201262,TRUE,"gamma[9,1]"
2->3,2,3,Cardiovascular condition (any; 1 vs 0),0.06133797581764727,0.2399783327944831,0.06537304648386857,-0.41899302472505817,0.51662905075487775,1.0632582090298581,0.6577087829514094,1.6763671658249266,FALSE,"gamma[9,2]"
2->3,2,3,High blood pressure (1 vs 0),-0.08435773557293631,0.22178300836602832,-0.08159412298121474,-0.5338192536285761,0.3471875794036052,0.9191024016529231,0.5863612254536501,1.4150821407404344,FALSE,"gamma[9,3]"
2->3,2,3,Diabetes (1 vs 0),-0.04115995181675954,0.33153019056343064,-0.029937489926637514,-0.7219601138111645,0.5799516629918295,0.9596756158124448,0.4857991005921216,1.7859521010823292,FALSE,"gamma[9,4]"
2->3,2,3,Stroke (1 vs 0),-0.9819897804965704,0.509959909077234,-0.9456957757013013,-2.096581313125458,-0.08346606664506866,0.3745650546250307,0.12287578485297276,0.9199223021915993,TRUE,"gamma[9,5]"
2->3,2,3,Cancer (1 vs 0),-0.1862657245676654,0.43186016146089407,-0.16099973371916443,-1.1076512070869826,0.5904364388991372,0.8300530001998867,0.33033393659960975,1.804775917951803,FALSE,"gamma[9,6]"
2->3,2,3,Arthritis (1 vs 0),-0.9457234539629072,0.22338463960862046,-0.9447665472760176,-1.3842186479041039,-0.5112438837782887,0.38839848081601114,0.25051946724995056,0.5997490964677362,TRUE,"gamma[9,7]"
2->3,2,3,Eyesight score (per 0.2-unit increase),-0.06598640870414312,0.10221321881798442,-0.06484556577106024,-0.27039845069487656,0.12954746759646593,0.9361435876096191,0.7630753858370252,1.138313143169329,FALSE,"gamma[9,8]"
