"Parameter","Estimate","Posterior_SD","Lower95","Upper95","Rhat","ESS","Replicate","N","N_long","N12","N13","N23","Max_Rhat","Min_ESS","Fit_Status"
"alpha0_12",0.433049627554914,0.143525376663027,0.160261435164059,0.726481016155977,1.00077670813865,4037.80250856943,27,500,2191,232,150,110,1.03900589476394,124.390459095288,"success"
"alpha0_13",0.947850821732877,0.237734641009078,0.504752635636749,1.43974106434111,1.00221135928753,1985.07577924672,27,500,2191,232,150,110,1.03900589476394,124.390459095288,"success"
"alpha0_23",0.903249053469089,0.242294798281205,0.461320827080375,1.41098904164795,1.00006722832974,3555.328929453,27,500,2191,232,150,110,1.03900589476394,124.390459095288,"success"
"alpha1_12",0.28648972394559,0.15147196629371,-0.0209996899103353,0.577204583841291,1.00025866857916,6852.9603352143,27,500,2191,232,150,110,1.03900589476394,124.390459095288,"success"
"alpha1_13",0.111664196363209,0.272236731590437,-0.442118847976645,0.633097668303164,1.00301473065606,1913.05131682809,27,500,2191,232,150,110,1.03900589476394,124.390459095288,"success"
"alpha1_23",0.0105630316123526,0.231349985362358,-0.464898014959817,0.440062401293394,1.00034702106464,4700.60943083185,27,500,2191,232,150,110,1.03900589476394,124.390459095288,"success"
"beta0_y",2.01389833992828,0.0710849582928619,1.8771681509009,2.15425105097416,1.0006585953448,2193.63047219769,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"beta1_y",0.498113530384146,0.0372451838084718,0.424910961428183,0.567099132253825,1.001300299684,106.156709994891,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"beta2_y",0.906361578771246,0.064195264365154,0.780195198788063,1.03242338911875,1.0002663989908,1369.51123504125,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"sigma_b0",0.930406120121104,0.071841535646436,0.790833332836418,1.07405934679631,1.00233093218106,1315.62904401081,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"sigma_b1",0.618993144186776,0.0272970039118873,0.567706043774195,0.675010299242922,1.00035751830643,5821.31930334081,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"rho",0.361305789507595,0.083194868523103,0.194646055003118,0.521480458115472,1.00017844317899,1591.82079012908,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"sigma_y",1.0383118416594,0.0190449987450378,1.00153054019018,1.07625301599334,1.00070312769342,10478.7013299564,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"lambda012",0.0807258617961529,0.00644702019881482,0.0685286438805369,0.0939508284918094,1.00001833785441,10450.2755189617,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"lambda013",0.0356985156108482,0.00493671998298585,0.0265169421627463,0.045853879709314,1.00017054100715,7161.32379063457,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"lambda023",0.103261591163317,0.0114919981384175,0.0815672899976143,0.12652818815754,1.00006910305591,9048.61657900116,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"gamma12",-0.542672738609621,0.0758555526348035,-0.692191117947403,-0.394537742927948,0.999991808835174,11764.234225373,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"gamma13",0.826347367530472,0.122826737054183,0.594800405026847,1.07624395287656,1.00010329868959,6296.23996965301,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"gamma23",0.463652290447001,0.103961045523961,0.262755345362512,0.670546763839948,1.0000390763783,13368.7905863359,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"alpha0_12",0.60395586127091,0.157614260684715,0.315546738300447,0.934932490469124,1.00088370358553,2240.91261209853,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"alpha0_13",1.1724028707365,0.206048043580741,0.798710812888096,1.60658367766651,1.00014489931048,2380.93695152218,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"alpha0_23",0.687348133973867,0.21126663425213,0.30382492864375,1.136713208094,1.00088985136634,3020.85697362135,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"alpha1_12",0.117835956989568,0.168663580242765,-0.229781935958942,0.431919180883243,1.00014788443345,3589.54414594437,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"alpha1_13",0.0440581550058291,0.266731163386872,-0.506420688845045,0.535707830829671,1.00090131319178,2443.78612916059,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"alpha1_23",0.132870356914566,0.227017783833349,-0.334757853158426,0.556721589169862,1.00008412731408,3769.64491135455,28,500,2209,222,135,123,1.00233093218106,106.156709994891,"success"
"beta0_y",2.01469423192049,0.0746404543202642,1.86827982691043,2.15992733151092,1.00024528086261,1862.32949385598,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"beta1_y",0.49550485221712,0.0352900177951647,0.429178059199369,0.567142688682038,1.01175517830044,101.965367736962,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"beta2_y",0.890976579331618,0.0710760304774124,0.750798908629431,1.0315101200292,1.00138641039718,1121.42757933382,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"sigma_b0",1.06672150933806,0.0666314377235078,0.940867703481634,1.2023485877802,1.00067455118677,2771.84318342264,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"sigma_b1",0.568701665986041,0.0240839012516363,0.523665819234999,0.617963974124616,1.00015046007527,7953.38575324854,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"rho",0.232614222150624,0.0739964161769486,0.0865329648201748,0.375837410367611,1.00001617061567,3201.54767767832,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"sigma_y",1.01294686536298,0.0179108553587352,0.978433673663071,1.04875690543961,1.00000540955372,13357.973146419,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"lambda012",0.0805297222116641,0.00604204793038899,0.0691445412695054,0.0927973353023044,1.00011425888107,12112.2255110675,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"lambda013",0.0453878176790602,0.00494934766108263,0.0361601855014552,0.0555253824498856,1.00028236072538,8665.80613788372,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"lambda023",0.0736880187685102,0.00866937049034661,0.0574792219993317,0.0914853024106882,1.000302553183,11654.9492966107,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"gamma12",-0.444612861109471,0.077501147150139,-0.597174163008632,-0.292938893505164,1.00010645487291,18585.9854633265,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"gamma13",0.709012592255835,0.0995062406515994,0.516306097462436,0.908217618269383,1.00001569905805,6728.31533929637,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"gamma23",0.518537740681892,0.111889866262757,0.303469752575651,0.741170983352329,1.00007587657389,11558.7423492299,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"alpha0_12",0.340112381769908,0.093192721095559,0.160522633506422,0.526837707057908,1.00028497398378,7060.29717145055,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"alpha0_13",0.759876372810529,0.159788262092587,0.456485090303433,1.08581212914106,1.00000642350079,2706.97791483353,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"alpha0_23",0.603635543513995,0.152110924921243,0.320856969471497,0.919494201225432,1.00110370440408,5494.63357063835,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"alpha1_12",0.273176158119299,0.142403197767032,-0.00784240086738169,0.549223648598061,0.999994763895267,11662.1596987179,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"alpha1_13",0.295490849273142,0.258003989733303,-0.229477477492311,0.786881298751877,1.00011920081838,1966.03446791841,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"alpha1_23",0.247541929712077,0.254173053204264,-0.261748298979402,0.734836149552383,1.00007140041184,6764.8183539441,29,500,2354,235,152,102,1.01175517830044,101.965367736962,"success"
"beta0_y",1.92741749640605,0.0744124663854371,1.78297046234812,2.07601325978029,1.00065067064176,1976.87201480073,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"beta1_y",0.518182017064423,0.0372556053548858,0.449522959006983,0.596729718096516,1.01395134221965,85.5684249163415,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"beta2_y",0.951378144813728,0.072258099268975,0.809292151523211,1.09387399256279,1.00105459216014,1234.66627439128,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"sigma_b0",1.0069241292178,0.0677134565006328,0.877580571252473,1.14293144723097,1.00071512793736,1981.95325889297,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"sigma_b1",0.586716781967611,0.0257336095720902,0.539112611637482,0.640037919689057,1.00199323803349,5958.47640369904,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"rho",0.331045386164493,0.0765860613522067,0.177821795611152,0.477162758899989,1.00092815936798,2547.84613436647,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"sigma_y",1.00316643630419,0.018343329501137,0.967861308853208,1.03973961122135,1.00047092905444,12245.0082228618,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"lambda012",0.0837554821090319,0.00636269567526316,0.0717084637431235,0.0966968961726891,1.00009881561509,11895.857439001,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"lambda013",0.0411460403018272,0.00472457810654554,0.0323260458943969,0.0508349032559676,1.00023647194151,11177.4320659947,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"lambda023",0.105352292037996,0.0109025956088816,0.0846762114917164,0.127464363561667,1.00078055481551,9751.61309955793,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"gamma12",-0.452965693669533,0.0788434656690621,-0.606007264509911,-0.297495039245318,1.00028190818628,10097.1322498983,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"gamma13",0.745368218003386,0.10926692740537,0.532158143419554,0.961298778707082,1.00003504369489,10732.7363837388,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"gamma23",0.563847770412728,0.11247646969191,0.345187858462486,0.785281343242435,1.00007770977883,23186.5831081999,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"alpha0_12",0.545517171970554,0.11723093889725,0.329440725242887,0.791181326625086,1.00051373751172,3418.95402951475,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"alpha0_13",0.708192367843725,0.175273510712302,0.383424692224401,1.07356804271709,1.00389093135724,2367.89601588035,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"alpha0_23",0.38816510033845,0.167523678517178,0.075838723838447,0.73150115872575,1.00036984815084,4480.01398168788,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"alpha1_12",-0.0689153060932018,0.162228241587967,-0.397523315674222,0.23662394479691,1.00038652354278,5282.26462485282,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"alpha1_13",0.489317484323662,0.318839081440328,-0.169829020681945,1.08827317475272,1.00500974867014,1516.47424830324,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"alpha1_23",0.451442402669335,0.202266212376434,0.0426244067795033,0.837862211526634,1.00028009039998,6334.40733874758,30,500,2260,241,142,131,1.01395134221965,85.5684249163415,"success"
"beta0_y",1.94272925158941,0.0742256206064178,1.79865280229644,2.08842255323012,1.00170461548762,1941.6534912862,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"beta1_y",0.552774836242856,0.0376952734288275,0.477037161399057,0.628359176969768,1.02558704015113,115.375513884486,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"beta2_y",0.939431551662666,0.0695123657452301,0.802894868809058,1.07613360343736,1.00261002867408,1330.83187423285,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"sigma_b0",0.936094323581999,0.0702268877613885,0.801240200513518,1.07782378154524,1.00010529120764,1773.97396982432,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"sigma_b1",0.63201746736282,0.0277667037023285,0.580144820058506,0.688928044648507,1.00001939928976,5042.67598085959,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"rho",0.325108143285734,0.0784371067775288,0.168533335746905,0.474300482544046,1.0002451793011,2785.50092504691,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"sigma_y",1.03487592315018,0.0187843989801685,0.999020177737924,1.07257296022042,1.00000741780148,12602.4574992749,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"lambda012",0.0851714523767257,0.00630706146916448,0.0732618082903889,0.0979246241443617,1.00000594555799,15719.302396246,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"lambda013",0.0401721170769088,0.0046467069880566,0.0314665772599762,0.0496650990694633,1.00006420675649,12065.9495317729,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"lambda023",0.0976516342722647,0.0109856376419739,0.0770323573942332,0.11998016463503,1.00017729882199,9874.23842223756,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"gamma12",-0.509601135137937,0.075152467879458,-0.656350413037878,-0.361780269047327,1.0002233130667,18874.432779751,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"gamma13",0.868636268844518,0.10522789980874,0.667228338577226,1.08075718812773,1.00005392954695,7878.87039307641,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"gamma23",0.216996594290084,0.110853442701196,0.0028785156522132,0.435486658531629,1.00003510131414,14338.4223478926,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"alpha0_12",0.359295988846003,0.115669880247297,0.140339723966684,0.594778691756989,1.00008010955809,4702.67546709326,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"alpha0_13",0.725246914440329,0.218679608955835,0.306892722670087,1.16757173747658,1.00137723646587,1909.38236154153,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"alpha0_23",0.654638966967163,0.218733212089159,0.24821742639434,1.11008888751649,1.00230909245936,2718.7194155446,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"alpha1_12",0.163052971933443,0.13275197537774,-0.101902371884518,0.41963923013619,0.999994833804043,7703.42048072896,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"alpha1_13",0.410082294683261,0.245119528712781,-0.0839782171834973,0.881428016969735,1.00101112899514,2018.57807919273,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"alpha1_23",0.267946726038626,0.222016088186424,-0.18146414105529,0.690392231316398,1.00122809010058,4195.36426629669,31,500,2255,254,141,134,1.02558704015113,115.375513884486,"success"
"beta0_y",1.96420548575739,0.0715756964013282,1.82556399547195,2.10623145929579,1.00342759875424,2123.45171362053,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"beta1_y",0.558195559488012,0.0413219390870909,0.484839631342444,0.645992043682873,1.06567989614781,81.675288689594,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"beta2_y",1.10348168517672,0.0669957267594991,0.971293328243215,1.23328273564855,1.01210149010957,1348.96722570925,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"sigma_b0",0.967301170504507,0.0657915483786818,0.840549203212024,1.09924079461097,1.00000362647316,2069.62635688675,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"sigma_b1",0.637205327590969,0.0285510624401895,0.584066070935744,0.696032204066787,1.00565726067172,3686.2179638465,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"rho",0.282750147076733,0.0756153124029829,0.132334450390219,0.428550265029726,1.00020627691675,3112.60471505607,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"sigma_y",0.994273181208457,0.0185465668476104,0.958530609062551,1.03132306712133,1.00019347532667,11552.4353661886,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"lambda012",0.0788461999363756,0.00615857538726935,0.0673086925968485,0.0915153913002855,1.00156589443706,8548.22638091627,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"lambda013",0.0493305751775013,0.00556916491965759,0.0389591747067378,0.0607228285699786,1.00160248106696,6156.04673407115,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"lambda023",0.097683295054847,0.0124307595927756,0.0744334685637989,0.123317705507057,1.00040891697278,7017.72001421153,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"gamma12",-0.396400734607583,0.0774038350866093,-0.548074965669526,-0.245573756713064,1.00043412775594,16228.3966836758,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"gamma13",0.755381400863389,0.10217253725442,0.556422941670397,0.956415582351952,1.00183596856268,8135.33934767114,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"gamma23",0.596966442833615,0.116769569930118,0.375197999169116,0.833328191956055,1.00132149880723,7136.64787626957,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"alpha0_12",0.424671855552403,0.119632536262031,0.19725716064592,0.670752026749854,1.0000512430947,4296.95755428346,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"alpha0_13",0.829740202433584,0.15605687365261,0.539628267409273,1.15150876308593,1.00352320687689,3385.01275941572,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"alpha0_23",0.906174144419884,0.219548853508926,0.498935127345824,1.35652876618968,1.00116451541001,3040.09668356088,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"alpha1_12",0.338223138459366,0.139424099837144,0.0604380537728015,0.606917246039472,1.00071898508998,7147.6398925657,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"alpha1_13",0.654481824858179,0.210081195377566,0.229485804699297,1.05566356933717,1.01544515796758,2716.96699105161,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"alpha1_23",0.238689914111109,0.219046855620399,-0.20922016138756,0.651996197320904,1.00182703617899,4944.83105484911,32,500,2155,215,168,110,1.06567989614781,81.675288689594,"success"
"beta0_y",2.00804522860624,0.0730122632119058,1.86483474365846,2.15282944341869,1.00084158786327,1968.20511397398,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"beta1_y",0.506593589878421,0.0328507012787714,0.439097150089343,0.569604396038046,1.00615339107344,122.562496869105,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"beta2_y",0.938228195158231,0.065086906562519,0.81037509615021,1.06461364086685,1.00017853258017,1132.24427327039,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"sigma_b0",1.04060341290485,0.0645279056944135,0.91754502882261,1.17032606721684,1.00001088849162,2593.84443094627,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"sigma_b1",0.595591194620094,0.0251133209834088,0.54858081268487,0.647269790916496,1.00022863810787,6366.71863978898,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"rho",0.243621793673428,0.0750917147040264,0.0948623757224737,0.389769962215401,1.00143304563539,3496.24549496962,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"sigma_y",0.976635788795147,0.0175745068023252,0.942850629604797,1.0117400901861,1.00070204828458,13141.2997357059,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"lambda012",0.0863767618266977,0.00636325041426863,0.0743614433074453,0.0992970689723576,1.0004814404518,13601.1459866555,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"lambda013",0.0380473283555044,0.00469623459657264,0.0293243322138299,0.0478007368065594,1.00004598677131,9691.5011940572,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"lambda023",0.0760594286161201,0.00824821267852977,0.0606584612951814,0.0929290326046135,1.00006053126775,13537.1265266763,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"gamma12",-0.472990495470841,0.0696529450253108,-0.609784271411701,-0.336150155966521,1.00019479395088,16001.2964597397,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"gamma13",0.789537585055212,0.102651802160466,0.591399595555803,0.992711816146531,1.00031108833823,8891.94766020975,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"gamma23",0.496503824620769,0.104920100915161,0.293716031738908,0.706289283177813,1.00000866417191,20378.0684832184,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"alpha0_12",0.373975404032977,0.0995487343929179,0.184202059075304,0.575044817726681,1.00023290966936,5729.43106540224,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"alpha0_13",0.735320101143945,0.17087155179943,0.408275852959997,1.07779952006433,1.00054497689374,3065.19613728757,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"alpha0_23",0.455299646322625,0.143828015773315,0.182464698458262,0.746562166474502,1.00101322304436,6739.02004191203,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"alpha1_12",0.15800081563902,0.13289873082451,-0.105842661754115,0.415475159310093,1.00003095057835,9956.10200358986,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"alpha1_13",0.58254818161094,0.248871350052016,0.0773033983820132,1.05523027939934,1.0001176289697,2799.52384306064,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"alpha1_23",0.387452531753238,0.220675858568337,-0.0523946524603413,0.813230668737155,1.00049404789784,9173.1813825669,33,500,2308,246,133,110,1.00615339107344,122.562496869105,"success"
"beta0_y",1.96993900335898,0.0721681972829353,1.82577085755275,2.11224984735797,1.00016570574919,1967.44870128308,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"beta1_y",0.469989233053848,0.0437165535521592,0.387117112330811,0.553185760772586,1.06694276298229,73.2203533498228,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"beta2_y",0.859029958282432,0.0647759192413087,0.730521620089638,0.985513731139078,1.00081318737841,1262.62065710463,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"sigma_b0",0.984358845156866,0.0698956621094879,0.85037323954959,1.12538870182568,1.00034670755263,2045.15028958093,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"sigma_b1",0.608443293860697,0.0258952892535693,0.560084217274,0.661705857217088,1.00115509550651,6478.66350581141,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"rho",0.168372820737811,0.0793799895196442,0.0100855274603561,0.320922358937322,1.00330499225019,3285.76439751496,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"sigma_y",1.0254808669068,0.0183461268859008,0.990188200480337,1.06237696547687,1.00020001592056,12892.3272111199,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"lambda012",0.0738933652930076,0.00581564980799483,0.0629922886027897,0.0857634488630106,1.00085117511886,13562.9807257724,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"lambda013",0.0395832611859988,0.00471818137982699,0.0307727163328338,0.049242516836948,1.00047276407525,9847.30883881369,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"lambda023",0.104889664195833,0.0121158872195465,0.0823860198730948,0.129707794728903,1.00159365341795,9333.73554769936,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"gamma12",-0.625536344142732,0.0747644301239411,-0.771478335645209,-0.479662497742499,1.00051517792266,13167.1015838028,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"gamma13",0.741988644444178,0.109640651456567,0.533541131116223,0.962859215904996,1.00036627250401,7174.85993145758,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"gamma23",0.62178981920552,0.124092553245028,0.383420317558496,0.870063422972867,1.00028721110937,12056.3087865713,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"alpha0_12",0.446047538180207,0.107887235988214,0.242457263558896,0.666437463396511,1.0000454242154,5194.87336144556,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"alpha0_13",0.852470145456174,0.180927126987023,0.512472402541907,1.22802106152719,1.00090766670697,2536.75249971352,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"alpha0_23",0.767999497763699,0.170527794660374,0.453537969662298,1.12518375347161,1.0021008462571,4432.92089840003,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"alpha1_12",0.119844661164789,0.13511076889705,-0.148572244965645,0.382122372720891,1.00009513573801,10340.5432379166,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"alpha1_13",0.23381696084354,0.228455449291032,-0.221832189393381,0.672118496997511,1.00621450766031,1920.49842447215,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"alpha1_23",0.219500523823316,0.207512808312935,-0.199805321902535,0.616091855407828,1.00160135734688,6191.48112480564,34,500,2322,233,149,125,1.06694276298229,73.2203533498228,"success"
"beta0_y",1.90815624514105,0.0666661887179777,1.77856537273501,2.03861084900124,1.00206391938128,2684.66074495196,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"beta1_y",0.494937282709971,0.0359698384086273,0.419563764618994,0.562672656069078,1.06719193388825,120.740799244489,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"beta2_y",0.864490921045119,0.0634019121423278,0.740663282875133,0.989168568078423,1.0028236809295,1586.91909094529,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"sigma_b0",0.836108979938452,0.0675391207975913,0.705967441054724,0.969904209690922,1.0022323516851,1464.55384686096,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"sigma_b1",0.632363651999286,0.0274209014174663,0.581434936486352,0.688979856139073,1.00095010604668,5530.69847829392,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"rho",0.35566469038397,0.0851669096398166,0.186683625667405,0.518990019934225,1.00005239906725,1775.56581636971,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"sigma_y",1.01164546691411,0.0185312246469011,0.976000891297937,1.04877284850068,1.00007181731218,9480.93677917127,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"lambda012",0.0719442253331067,0.0056770814905471,0.0613323291089523,0.0835019654935771,1.00024783115617,14196.0534701124,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"lambda013",0.0367473726894803,0.00435574262537587,0.0286486642047323,0.0457016495165322,1.00119771747431,10738.1315063234,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"lambda023",0.112756902148874,0.0124713250223136,0.0889874321549106,0.137907705667224,1.00122546008767,11314.9061738768,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"gamma12",-0.607299681301371,0.0814749075861673,-0.768375257561048,-0.448829395978967,1.00036840108634,17181.9384985885,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"gamma13",0.728377890191723,0.100259091995869,0.53416876949759,0.926519133071644,1.00017339133331,9611.67322027206,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"gamma23",0.336834743720138,0.10553473401081,0.131498911962534,0.545968869505164,1.00024178433988,16935.9703723055,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"alpha0_12",0.542267359242385,0.155498501267142,0.255477037880798,0.86922185196168,1.00135755261812,3250.55394175824,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"alpha0_13",0.823431577226988,0.237670538050739,0.377841609299325,1.30940469490347,1.00124147854394,2078.62779615812,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"alpha0_23",0.737776211705029,0.243801220997429,0.277789404534338,1.24137783800875,1.00027469711004,2834.91941539685,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"alpha1_12",0.136641623590085,0.144263052396064,-0.15990225573736,0.406524006146075,1.00061998517818,5156.05846577992,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
"alpha1_13",0.542462388303869,0.248161689820266,0.0409102575859252,1.01387840971068,1.00462337924367,2125.11637725327,35,500,2214,220,146,127,1.06719193388825,120.740799244489,"success"
