"Parameter","Estimate","Posterior_SD","Lower95","Upper95","Rhat","ESS","Replicate","N","N_long","N12","N13","N23","Max_Rhat","Min_ESS","Fit_Status"
"alpha0_12",0.312775669469336,0.121055495865049,0.0830526044528398,0.559163850561822,1.00040916269527,5040.51779677255,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"alpha0_13",0.990632347546017,0.178793654010748,0.660147621703032,1.36268433819202,1.00116906954962,2460.16349203076,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"alpha0_23",0.237086166392783,0.192929529079114,-0.136384948934372,0.623605578264854,1.00010732698683,3709.95203915207,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"alpha1_12",0.243536053684752,0.144442962278378,-0.0417774657929592,0.523252357386503,1.00008711870181,7441.45297474862,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"alpha1_13",0.102117592421832,0.234199105088294,-0.37224579746813,0.544745199691121,1.00180435310878,1970.74107549377,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"alpha1_23",0.499082378779021,0.193929947036239,0.119377615523762,0.882025313028767,1.00002463582595,5871.64044758984,3,500,2207,219,169,121,1.00986649211456,83.5203626649781,"success"
"beta0_y",1.88446668898545,0.0753266536869827,1.73948296545273,2.0348572748325,1.00071761012714,1663.61545036883,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"beta1_y",0.468982121412865,0.0340147531059619,0.40547276126635,0.537439823148601,1.00857107566121,120.128647151362,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"beta2_y",0.931597056641063,0.0817559727871699,0.772435704290182,1.09279602949237,1.00051871025102,956.328977924367,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"sigma_b0",1.04627671620337,0.0665107896402782,0.91809869696149,1.17914371775036,1.00014193937813,2286.66847071777,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"sigma_b1",0.57134020608224,0.0245279980768494,0.525507594749278,0.621839694586086,1.00008759869177,5981.44511061313,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"rho",0.35826761514959,0.0725277554185686,0.212049230845592,0.494701126086573,1.00002418261546,3087.22408644763,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"sigma_y",0.988782211008922,0.0173794835502763,0.955077699613803,1.02354756596001,1.00004364286414,13269.4161393799,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"lambda012",0.0872330708479655,0.00663353829646177,0.0747674437927058,0.100674087811046,1.00035572539098,8328.33214900118,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"lambda013",0.0382723720893468,0.00442361815939063,0.0300442134159743,0.0473819536865043,1.00033791258646,11743.6515715826,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"lambda023",0.0815897189827735,0.00912560440321114,0.0644149854025521,0.100299289696756,1.00085423979473,11516.08762761,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"gamma12",-0.524852737382093,0.0796377799903872,-0.681474704992468,-0.369566696725156,0.999995783606593,7363.43272848346,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"gamma13",0.899176927699996,0.115385923300777,0.67732872729755,1.1298967869291,1.00002085423326,11145.402725813,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"gamma23",0.463975925109591,0.123173022477148,0.226243126101627,0.710000315779414,1.00008406303564,17538.669857514,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"alpha0_12",0.500689717146921,0.103103533290626,0.3082738309083,0.71374373056886,1.00055964958929,4776.35101528987,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"alpha0_13",0.578028377520216,0.190918534042819,0.202892868809591,0.957868314544648,1.00021596687287,2332.76455051327,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"alpha0_23",0.41656453167437,0.163265945308999,0.106980841422357,0.748932091864319,1.00002565516124,4820.65113245518,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"alpha1_12",0.0899727182744004,0.155167794787927,-0.22236599409744,0.385885787752328,1.00032306630178,7442.06386235522,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"alpha1_13",0.557811694369926,0.307115128925913,-0.0475274176875857,1.16218985496506,1.00116325118072,2071.58688924492,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"alpha1_23",0.356875734115301,0.225146138961521,-0.0918926886321533,0.794426514472167,1.00006467568549,6658.02819127271,4,500,2358,264,130,122,1.00857107566121,120.128647151362,"success"
"beta0_y",1.9463606100341,0.0678826780284502,1.8137191200491,2.07981924812316,1.00614740425146,2326.91539912957,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"beta1_y",0.528323358562368,0.0357594366315144,0.458305931312941,0.599663017611204,1.00227750101696,105.018384721555,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"beta2_y",1.03461306595248,0.0697268781924405,0.899626095213962,1.17351946729027,1.00179221024711,1313.48561167721,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"sigma_b0",0.933425097165864,0.066233760328957,0.807338245439269,1.06715952159125,1.00757480698364,1810.30071249193,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"sigma_b1",0.60188111477539,0.0264178463089406,0.552355552414171,0.655831703453711,1.00043517745443,4793.28598278425,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"rho",0.354838711948587,0.0787428829990495,0.197672845920114,0.505030221924543,1.00362645915753,1837.06223359632,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"sigma_y",1.00274510101794,0.0180709234429189,0.968087652447789,1.03892245291452,1.00081384869815,11849.5058411577,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"lambda012",0.0784144304109723,0.00620635305796198,0.0666942108645054,0.0910464371836792,1.00018047694173,11278.4052168846,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"lambda013",0.0451447408085875,0.00501118987487968,0.0358479171058041,0.0554657805676964,1.00005091430721,7855.93245696089,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"lambda023",0.0811214371085698,0.0121293074778841,0.0585297739784008,0.10598625970828,1.00125046013563,5333.61554473637,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"gamma12",-0.430470824741444,0.0836634664997815,-0.595699512957752,-0.268647325435033,1.00032757472273,9762.83802279604,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"gamma13",0.78100844133818,0.102574483508448,0.582809092636786,0.984511023503925,1.00063417828186,8178.59891096204,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"gamma23",0.512449078470632,0.141214080888273,0.235824440729267,0.788940605915393,1.00026927423185,10756.3065395159,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"alpha0_12",0.640775859032408,0.150087507979894,0.366758707860312,0.957632879925537,1.00292080022473,2958.80545592808,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"alpha0_13",0.776531703188254,0.170198437214913,0.450904841260606,1.1236533859343,1.00186206496991,3334.6122633532,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"alpha0_23",0.985020228096341,0.239404032130216,0.534976020733841,1.4719188587188,1.00119934043211,2783.38658438735,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"alpha1_12",-0.0521782422040794,0.170357765739433,-0.399996540973087,0.268036824886144,1.0003646816144,4039.28473037718,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"alpha1_13",0.455994960030203,0.221898923327961,0.00949781888029662,0.879809578288869,1.00039094931199,3332.60495425913,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"alpha1_23",0.436088656282412,0.255428681496539,-0.0807847028884354,0.923015272130647,1.00007789548448,4374.34623260323,5,500,2238,229,154,108,1.00757480698364,105.018384721555,"success"
"beta0_y",2.11097062575988,0.0765779377963793,1.96257428526924,2.26327914504115,1.00016306999271,1894.8161001998,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"beta1_y",0.52311092201872,0.0390504376054755,0.445346798606916,0.598119831050415,1.03069312514669,108.773041205735,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"beta2_y",1.08693886731481,0.0721590097959275,0.947774409913242,1.2300372334655,1.00438596926074,1207.22816682571,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"sigma_b0",1.00969940406545,0.0726115858024238,0.871419769030797,1.15655299585859,1.00024924550295,1615.54184208718,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"sigma_b1",0.592469979283,0.0261783989432529,0.543434094348414,0.646074399528542,1.00114259065286,6998.57317738878,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
