"N","replicate","parameter","estimate","posterior_sd","lower","median","upper","rhat","ess","censor_before_first","n12","n13","n23","converged"
500,72,"gamma23",0.548470504535267,0.109355892551541,0.33232193578336,0.548857825275758,0.762521918122438,1.00061972783908,9534.4657112141,0.374,199,114,83,TRUE
500,73,"lambda012",0.0793698267723491,0.00640541632238238,0.0676331417910177,0.0792225322276407,0.0926211281462766,1.00038655377001,6019.91933154385,0.398,194,107,90,TRUE
500,73,"lambda013",0.0341982384820576,0.00434647366084003,0.0262449339855949,0.0340445298968016,0.0431042948814628,1.00016088986884,3791.7069444543,0.398,194,107,90,TRUE
500,73,"lambda023",0.125092804920105,0.0132289711468505,0.1002501721176,0.124560118167509,0.152694180329509,1.00038950762458,8483.2111127411,0.398,194,107,90,TRUE
500,73,"gamma12",-0.735809455596196,0.0734569376803827,-0.878328898253784,-0.737354348479788,-0.588841348446146,1.00000823140955,5973.91721767135,0.398,194,107,90,TRUE
500,73,"gamma13",0.927543110217684,0.110051554035197,0.712414728023796,0.927686231840188,1.1413869762131,0.99992737817627,3625.7723998474,0.398,194,107,90,TRUE
500,73,"gamma23",0.552224052786217,0.113710842487733,0.326292217378783,0.552065269841426,0.772802469339699,1.00002435313407,8712.07891993038,0.398,194,107,90,TRUE
500,74,"lambda012",0.0898283071606291,0.0067183157511189,0.0772151153408294,0.0896310040420875,0.103319428416652,1.00041234608069,6891.80504280451,0.394,204,99,79,TRUE
500,74,"lambda013",0.0339000869080795,0.00440397955819331,0.0257665790173303,0.0337034822249958,0.0430084791421265,1.00153562059336,3558.96760598688,0.394,204,99,79,TRUE
500,74,"lambda023",0.0870021263345685,0.00987157745846796,0.06857610321185,0.0866227574726578,0.10722797863044,1.0001537183961,8980.96336504999,0.394,204,99,79,TRUE
500,74,"gamma12",-0.539987929395,0.0750365209555676,-0.6875180930415,-0.540046525790178,-0.392654971166133,1.0002380275548,7227.0514781348,0.394,204,99,79,TRUE
500,74,"gamma13",0.78065610599887,0.113426593077961,0.555379437735355,0.780856098524774,1.00383409832704,1.00244533812041,3761.49269505096,0.394,204,99,79,TRUE
500,74,"gamma23",0.393457712950632,0.130729630973743,0.144389450187789,0.392837997264008,0.649542667353845,1.00004099552454,8650.48735876115,0.394,204,99,79,TRUE
